name,short_description,description,type,available_formats,source,coverage_extent,data_download_lvl,statewide_coverage,footprint,download_size,recommended_use,date_created,tags,known_issues,alternative_data,derivative_data,spatial_reference,relationship_tag,category,download,download_link,order,wms_category,wms_link,pop_link,status_map_cartodb_id,agency,agency_web,agency_gis_page,date_added,license,tile_index,supplemental_report
CAPCOG 2002 2m NC,"Natural Color 2m Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).","Natural Color 2m Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).",Raster,SID,CAPCOG,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson",,,1/4 USGS Quadrangle,,Basemap,2002,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, Austin, San Marcos, Georgetown, Historical",None,None,None,[EPSG 2277](https://epsg.io/2277),,Orthoimagery - Regional,,,T,Capital Area Council of Governments (CAPCOG),http://r.tnris.org/arcgis/services/CAPCOG/CAPCOG_2002_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/CAPCOG/CAPCOG_2002_NC/ImageServer?f=jsapi,708d444e-ded2-11e4-a51e-0e9d821ea90d,Capital Area Council of Governments,http://www.capcog.org/,,2014-02-01,CC0,T,
CAPCOG 2006 1ft NC,"Natural Color 12 inch Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).","Natural Color 12 inch Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).",Raster,SID,CAPCOG,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson",,,1/4 USGS Quadrangle,,Basemap,2006,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, Austin, San Marcos, Georgetown, Historical",None,None,None,[EPSG 2277](https://epsg.io/2277),,Orthoimagery - Regional,,,T,,,,7a50794c-df90-11e4-b580-0e4fddd5de28,Capital Area Council of Governments,http://www.capcog.org/,,2014-02-01,CC0,T,
CAPCOG 2007 140cm,"CAPCOG Lidar for Caldwell, Guadalupe, Travis, Williamson counties. ","FEMA compliant Lidar elevation covering Caldwell, Guadalupe, Travis, Williamson counties. Products include Point Cloud, Bare Earth, Intensity imagery, 3D breaklines, and Contour data for the entire area. This Lidar operation was designed to provide a high density set of mass points which are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. ",Raster,LAS,CAPCOG,"Caldwell, Guadalupe, Travis, Williamson",,,1/16 USGS Quadrangle,,"Basemap, Research, Analysis",2007,"Caldwell, Guadalupe, Travis, Williamson, County, Lidar, Point Cloud, LAS, Elevation, County, Historical",Lack of breaklines prevents creation of hydro-enforced DEMs,3M Non Hydro-Enforced DEM,5ft Contours,[EPSG 2277](https://epsg.io/2277),,Lidar,,,T,,,,a92929e2-df88-11e4-8df6-0e0c41326911,Capital Area Council of Governments,http://www.capcog.org/,,2014-02-01,CC0,Lidar,T
CAPCOG 2008 140cm,"CAPCOG Lidar for Bastrop, Fayette, Hays counties.","FEMA compliant Lidar elevation data covering Bastrop, Fayette, Hays counties. Products include Point Cloud, Bare Earth, Intensity imagery, 3D breakdlines, and Contour data for the entire area. This Lidar operation was designed to provide a high density set of mass points within the defined areas suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts.",Raster,LAS,CAPCOG,"Bastrop, Fayette, Hays",,,1/16 USGS Quadrangle,,"Basemap, Research, Analysis",2007,"Bastrop, Fayette, Hays, Lidar, Point Cloud, LAS, Elevation, County, Historical",Lack of breaklines prevents creation of hydro-enforced DEMs,3M Non Hydro-Enforced DEM,5ft Contours,[EPSG 2277](https://epsg.io/2277),,Lidar,,,T,,,,39479f40-df89-11e4-b344-0e9d821ea90d,Capital Area Council of Governments,http://www.capcog.org/,,2014-02-01,CC0,Lidar,T
CAPCOG 2009 6in NC,"Natural Color 6 inch Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).","Natural Color 6 inch Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).",Raster,SID,CAPCOG,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson",,,1/4 USGS Quadrangle,,Basemap,2009,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, Austin, San Marcos, Georgetown, Historical",None,None,None,[EPSG 2277](https://epsg.io/2277),,Orthoimagery - Regional,,,T,,,,e4def6e8-ded3-11e4-8cd4-0e018d66dc29,Capital Area Council of Governments,http://www.capcog.org/,,2014-02-01,CC0,T,
CAPCOG 2012 140cm,CAPCOG Lidar for City of Austin,"Using an Leica Light Detection And Ranging (Lidar) system, 206 flight lines of standard density (1.4 meter ground sample distance) data were collected over areas of the City of Austin (approximately 1200 square miles). Multiple returns were recorded for each laser pulse along with an intensity value for each return. 

The data acquisition occurred in 20 missions between January 12, 2012 , and January 28, 2012. During the Lidar campaign, the Sanborn field crew conducted a GPS field survey to establish final coordinates of the ground base stations for final processing of the base-remote GPS solutions. 

This Lidar operation was designed to provide a high density set of masspoints within the defined areas. The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts.",Raster,LAS,CAPCOG,"City of Austin and surrounding area, Travis County, Texas",,,1/16 USGS Quadrangle,,"Basemap, Research, Analysis",2012,"Austin, Travis, Lidar, Point Cloud, LAS, Elevation, County, Historical",None,"3M Hydro-Enforced DEM, 3D Breaklines",5ft Contours,[EPSG 2277](https://epsg.io/2277),,Lidar,,,T,,,,01a1b8ba-3abe-11e5-bfd3-0e018d66dc29,Capital Area Council of Governments,http://www.capcog.org/,,2015-08-11,CC0,Lidar,T
Census 2000,"Census Block, Block Groups and Tracts for the census 2000.","Census Block, Block Groups and Tracts for the census 2000.",Vector,"Shapefile, GDB",USCB,Texas,"state,county",T,"State, County","24.55 MB, 1.50 MB",Basemap,2000,"Population, Statistics, Census, Block, Tract, Group, Demographic, Age, Race, Ethnicity",Is not joined to have all Census information,None,None,[EPSG 4269](https://epsg.io/4269),,Demographics,,https://tnris-datadownload.s3.amazonaws.com/d/uscb00-bsc/state/tx/uscb00-bsc_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
Census 2010,"Census Block, Block Groups and Tracts for the census 2010. Data has been joined and exported with all related Census tables","Census Block, Block Groups and Tracts for the census 2010. Data has been joined and exported with all related Census tables",Vector,"Shapefile, GDB",USCB,Texas,"state,county",T,"State, County",625.38 MB,Basemap,2010,"Population, Statistics, Census, Block, Tract, Group, Demographic, Age, Race, Ethnicity",Very Large,None,None,[EPSG 4269](https://epsg.io/4269),,Demographics,,https://tnris-datadownload.s3.amazonaws.com/d/uscb10-blk/state/tx/uscb10-blk_tx.zip,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
City of Abilene 2009 1ft NC,"Natural Color imagery for the City of Abilene, data was collected at a 1ft resolution.","Natural Color imagery for the City of Abilene, data was collected at a 1ft resolution.",Raster,Tiff,City of Abilene,City of Abilene,,,City of Abilene Flight Grid,,Basemap,2009,"Abilene, Taylor, foot, NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical","No Metadata, Color Balance issues",None,None,[EPSG 2276](https://epsg.io/2276),,Orthoimagery - Regional,,,T,City of Abilene,http://r.tnris.org/arcgis/services/Abilene/Abilene_2009_1ft_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/Abilene/Abilene_2009_1ft_NC/ImageServer?f=jsapi,d706d6ca-ded4-11e4-9d17-0e9d821ea90d,,,,2014-02-01,CC0,,
City of Austin 2003 6in NC,"Natural Color imagery for the City of Austin, data was collected at a 6 in. resolution.","Natural Color imagery for the City of Austin, data was collected at a 6 in. resolution.",Raster,SID,City of Austin,City of Austin,,,City of Austin Flight Grid,,Basemap,2003,"Austin, Travis, City, NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical",None,None,None,[EPSG 2277](https://epsg.io/2277),,Orthoimagery - Regional,,,T,,,,fd0a9306-ded5-11e4-8060-0e4fddd5de28,,,,2014-02-01,CC0,T,
City of Austin 2006,"Natural Color imagery for the City of Austin, data was collected at a 6 in. resolution during leaf-off season in 2006.","Natural Color imagery for the City of Austin, data was collected at a 6 in. resolution during leaf-off season in 2006.",Raster,JP2,City of Austin,City of Austin,,,City of Austin Flight Grid,,Basemap,2006,"Austin, Travis, City, NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical",None,None,None,[EPSG 2277](https://epsg.io/2277),,Orthoimagery - Regional,,,T,,,,04cbaae8-ded7-11e4-8aee-0e0c41326911,,,,2014-02-01,CC0,,
City of Georgetown 2015 50 cm,"Lidar data for Georgetown, Texas","Partners Engineering, LLC, on behalf of the City of Georgetown, chose Sanborn to plan, implement, and collect Light Detection and Ranging (Lidar) data to acquire detailed surface elevation data for use in conservation planning, design, research, floodplain mapping, and to update their previous Lidar surface for 224 square miles of Georgetown Texas.
                                         
- **Projection**: UTM Zone 14 North. 
- **Horizontal datum**: North American Datum of 1983 (NAD83(2011)). 
- **Vertical datum**: North American Vertical Datum of 1988 (NAVD88) using the latest geoid (Geoid12a) for converting ellipsoidal heights to orthometric heights. 
- **Units**: meters (to 1cm) Point density- 4 points per square meter.
 
This data is for planning purposes only and should not be used for legal or cadastral purposes. Any conclusions drawn from analysis of this information are not the responsibility of Sanborn Map Company. Users should be aware that temporal changes may have occurred since this dataset was collected and some parts of this dataset may no longer represent actual surface conditions. Users should not use these data for critical applications without a full awareness of its limitations.
                              ",Raster,LAS,City of Georgetown,"City of Georgetown and surrounding area, Williamson County, Texas",,,1/64 USGS Quadrangle,,"Basemap, Research, Analysis",2015,"Georgetown,Wiliiamson, Lidar, Point Cloud, LAS, Elevation, County, Historical",None,"1M Hydro-Enforced DEM, 3D Breaklines",5ft Contours,[EPSG 2277](https://epsg.io/2277),,Lidar,,,T,,,,a3cf9e14-3a1d-11e5-9323-0e0c41326911,,,,2015-08-03,CC0,Lidar,T
City of Grand Prairie 2009 70cm,"Lidar for the City of Grand Prairie, Texas","This Lidar project is intended to provide high accuracy, classified multiple return Lidar, for approximately 139 square miles, of the City of Grand Prairie, Texas. The Lidar data was acquired and processed by Terrapoint USA to support hydrologic modeling and other engineering tasks. The product is a high density mass point dataset with an average point spacing of 0.7m. The data is tiled without a buffer, stored in LAS 1.0 format. 

The elevation data was verified internally prior to delivery to ensure it met fundamental accuracy requirements when compared kinematic to Terrapoint GPS checkpoints. The Lidar dataset for the City of Grand Prairie was tested 0.22ft vertical accuracy based on consolidated RMSE.",Raster,LAS,City of Grand Prairie,City of Grand Prairie,,,City of Grand Prairie FlightGrid,,"Basemap, Research, Analysis",2009,"City of Grand Prairie, Lidar, Point Cloud, LAS, Elevation, County, Historical",None,None,None,[EPSG 2276](https://epsg.io/2276),,Lidar,,,T,,,,7cef1ef2-df8a-11e4-bc17-0e018d66dc29,,,,2014-02-01,CC0,Lidar,T
City of Lubbock 2011 70cm Lidar,Lidar for the City of Lubbuck,"LAS and bare-earth files of the City of Lubbock and surrounding region. The Lidar was produced by The Sanborn Map Co., Inc. and provided to the City of Lubbock, TX in LAS,ASCII, DGN and Geomedia formats. The orthoimagery is tiled to 1/4 square mile tiles named based on naming convention provided by the City of Lubbock that indicates the City's basemap grid number and geographic quadrant of the grid (NW, NE, SW, SE).

The Lidar is provided to the City of Lubbock, TX and the Lubbock Metropolitan Planning Organization serves as a base map to be used for multiple purposes such as drainage studies, contour development, planning, and map production.",Raster,LAS,City of Lubbuck,City of Lubbuck,,,City of Lubbuck Flight Grid,,"Basemap, Research, Analysis",2011,"City of Lubbock, Lidar, Point Cloud, LAS, Elevation, County, Historical",None,None,None,[EPSG 2276](https://epsg.io/2276),,Lidar,,,T,,,,18595f70-66a8-11e5-a816-0e9d9d43ad5d,,,,2015-08-15,CC0,Lidar,T
Coastal Impact Assistance Program,"TNRIS received a grant as part of the Coastal Impact Assistance Program(CIAP) from GLO in 2010. The CIAP imagery project at TNRIS covered Brazoria, Chambers, Galveston, Jefferson, Matagorda, Orange, San Patricio and Victoria County for several decades within our collection. Over 5,000 frames were scanned and referenced as part of the project.","TNRIS received a grant as part of the Coastal Impact Assistance Program(CIAP) from GLO in 2010. The CIAP imagery project at TNRIS covered Brazoria, Chambers, Galveston, Jefferson, Matagorda, Orange, San Patricio and Victoria County for several decades within our collection. Over 5,000 frames were scanned and referenced as part of the project using ERDAS Autosync. Seamless mosaics were also generated for each imagery dataset using ERDAS Mosaic Pro. This Imagery project was handled predominately by the TNRIS Internship program. This project created the opportunity for Interns to learn important and valuable skills relating to the GIS industry. In addition to professional practices, interns were trained in several industry software applications. This product afforded the interns the opportunity to produce an important dataset that is distributed to the public.

Images were scanned at 800 dpi to create a 1 meter resolution dataset. ERDAS AutoSync was used to reference the historical imagery to the TOP 1995/1996 Orthoimagery dataset. The CIAP imagery is the most accurate historical imagery product that TNRIS has produced. The details on each frame’s accuracy and statistics are included in metadata for each frame.

Mosaics were created in the Mosaic Pro toolset of ERDAS. The mosaics are black and white, 1 meter resolution datasets of each of the collections. Referenced images were edgematched prior to mosaicking to ensure a seamless product. The mosaics were color balanced, dodged, feathered and smoothed to complete the mosaic.",Raster,TIFF. JP2,"USGS. USDA, TxDOT,",Coastal and Central Texas,,,Individual Frames,,"Basemap, Research, Analysis",2011,"Bexar, Brazoria, Chambers, Galveston, Goliad, Jefferson, Karnes, Matagorda, Orange, San Patricio and Victoria, Wilson, Greyscale, Imagery, Orthoimagery, Aerial Photography, Historical","Seamlines, CCMs are extremely large",None,None,"[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914), [EPSG 26915](https://epsg.io/26915)",,Historic Imagery,,,T,,,,a52e3874-4b61-11e5-b200-0e0c41326911,,,,2014-12-10,CC0,,
Digital Raster Graphics 024k,A scanned and rectified image of the USGS 1:24k topographic map series to be used in a geographic information system (GIS).,"A scanned and rectified image of the USGS 1:24k topographic map series to be used in a geographic information system (GIS). A TIFF, TFW, and metadata file exist for each of the 4,400+ topo sheets that cover the state of Texas. The original intent of the dataset was to create digital base map layers from features depicted in the topographic map such as hydrographic, cultural, or road features, that can be used in a GIS.",Raster,TIFF,USGS,Texas,quad,,USGS Quadrangle,Varies,"Base mapping, feature extraction",Creation date varies; Publication year 1996,"Topographic, DRG, Digital Raster Graphic, Texas, Statewide, Basemap, USGS, National Map, Historical","""While the datum of the published map is retained to be consistent with other USGS digital data, this image is cast on the UTM and may be INCONSISTENT with the credit note on the image collar.""","County Mosaic DRG, Collarless DRG, USGS Topo GeoPDF",None,"[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914), [EPSG 26915](https://epsg.io/26915)",,Topographic Map,T,,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
Digital Raster Graphics 100K,A scanned and rectified image of the USGS 1:100k topographic map series to be used in a geographic information system (GIS).,"A scanned and rectified image of the USGS 1:100k topographic map series to be used in a geographic information system (GIS). A TIFF, TFW, and metadata file covering the state of Texas. The original intent of the dataset was to perform quality assurance on other digital products and as a source for the collection of features, such as hydrographic or building features, that can be used in a GIS. 

The Digital Raster Graphic (DRG) is a scanned image of a US Geological Survey (USGS) standard series topographic map that includes all collar information (e.g., legend, scale bar, index map, etc.) The DRG is a non-proprietary product of a USGS DRG in which the map collar information has been removed. The DRG is useful as a source for feature extraction or background layer in a GIS or as a means to perform quality assurance on other digital products. The DRG can also be merged with other digital data, e.g. DEM's or DOQ's, to produce a hybrid digital file. The removal of the collar information allows the DRG to be edge-matched and displayed simultaneously in a GIS.",Raster,TIFF,USGS,Texas,quad,,USGS 100K Grid,Varies,Basemap,Creation date varies; Publication year 1996,"Topographic, DRG, Digital Raster Graphic, Texas, Statewide, Basemap, USGS, National Map, Historical","Age, Most not updated since 1980s",,None,"[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914), [EPSG 26915](https://epsg.io/26915)",,Topographic Map,T,,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
Digital Raster Graphics 250K,A scanned and rectified image of the USGS 1:250k topographic map series to be used in a geographic information system (GIS),"A scanned and rectified image of the USGS 1:250k topographic map series to be used in a geographic information system (GIS). A TIFF, TFW, and metadata file covering the state of Texas. The original intent of the dataset was to perform quality assurance on other digital products and as a source for the collection of features, such as hydrographic or building features, that can be used in a GIS. 

The Digital Raster Graphic (DRG) is a scanned image of a US Geological Survey (USGS) standard series topographic map that includes all collar information (e.g., legend, scale bar, index map, etc.) The DRG is a non-proprietary product of a USGS DRG in which the map collar information has been removed. The DRG is useful as a source or background layer in a GIS or as a means to perform quality assurance on other digital products. The DRG can also be merged with other digital data, e.g. DEM's or DOQ's, to produce a hybrid digital file. The removal of the collar information allows the DRG to be edge-matched and displayed simultaneously in a Geographic Information System.",Raster,TIFF,USGS,Texas,quad,,USGS 250k Grid,Varies,Basemap,Creation date varies; Publication year 1996,"Topographic, DRG, Digital Raster Graphic, Texas, Statewide, Basemap, USGS, National Map, Historical","Age, Most not updated since 1980s",,None,"[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914), [EPSG 26915](https://epsg.io/26915)",,Topographic Map,T,,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
Digital Raster Graphics County Mosaics,A scanned and rectified county mosaic of the USGS 1:24k topographic map series to be used in a geographic information system (GIS),A scanned and rectified county mosaic of the USGS 1:24k topographic map series to be used in a geographic information system (GIS). All 254 Texas Counties are in sid compressed format.,Raster,SID,USGS,Texas,county,,County,Varies,Basemap,Creation date varies; Publication year 1996,"Topographic, DRG, Digital Raster Graphic, CCM, County Compressed Mosaic, Texas, Statewide, Basemap, USGS, National Map, Historical","Age, Most not updated since 1980s, CCMs inherit all issues of base files",,None,"[EPSG 26913](https://epsg.io/26913), [EPSG 26914](https://epsg.io/26914), [EPSG 26915](https://epsg.io/26915)",,Topographic Map,T,,,,,,d5084e86-dec9-11e4-afda-0e0c41326911,,,,2014-02-01,CC0,,
